,Menu,Energi,Kalori,Lemak,Lemak Jenuh,Lemak Trans,Kolesterol,Protein,Karbohidrat,Serat,Gula,Sodium,Kalium,Lemak tak Jenuh Ganda,Lemak tak Jenuh Tunggal
0,Dada Ayam,2176,520,34.00,5.000,0.000,145,36.00,0.00,0.0,0.00,1220,0,,
1,Rice,1122,268,0.30,,,,6.80,59.57,,1.27,27,,,
2,Paha Bawah Crispy,711,170,12.00,,,,10.00,5.00,,,,,,
3,Perkedel,439,105,5.00,,,,5.39,9.60,,,,,,
4,Dada Ayam Original,1632,390,21.00,,,,39.00,11.00,2.0,,,,,
5,Chicken Breast Original Recipe,1506,360,21.00,5.000,0.000,110,34.00,11.00,0.0,0.00,1080,,,
6,Paha Atas Original Recipe,1172,280,19.00,,,,19.00,8.00,1.0,,,,,
7,Chicken Wing Original Recipe,502,120,7.00,1.500,0.000,50,11.00,3.00,0.0,0.00,380,,,
8,Original Recipe Chicken,544,130,2.00,0.500,,90,29.00,0.00,,,520,,,
9,Paha Atas Extra Crispy,1381,330,23.00,23.000,23.000,23,22.00,9.00,0.0,0.00,0,0,,
10,Mocha Float,628,150,3.00,2.000,,5,2.00,30.00,,24.00,70,,,
11,Burger Ayam (Colonel's Burger),1593,381,19.27,,,12,12.52,39.28,,,,,,
12,French Fries (Regular),1075,257,12.48,5.700,,,2.91,33.22,12.1,0.71,115,,,
13,Cream Soup,460,110,5.00,4.000,,15,3.00,14.00,,3.00,670,,,
14,Crispy Chicken Wing,711,170,13.00,,,,10.00,5.00,,,,,,
15,Crispy Chicken Thigh,1381,330,23.00,,,100,22.00,9.00,0.0,0.00,700,,,
16,Crispy Strip,516,123,8.13,3.760,,9,6.82,5.73,,0.42,214,,,
17,Ice Cream Sundae,774,185,6.00,3.090,,13,4.30,29.40,0.3,20.74,95,211,0.660,1.870
18,Deluxe Burger,1423,340,17.00,6.000,,5,9.00,37.00,,7.00,450,,,
19,Chicken Drumstick Original Recipe,502,120,7.00,1.500,0.000,45,11.00,3.00,0.0,0.00,310,,,
20,Fish Fillet,1383,330,14.44,7.800,,9,12.92,37.22,,3.00,687,,,
21,Tropical Float,879,210,2.00,1.500,,,1.00,46.00,,42.00,50,,,
22,Chicken Breast Hot & Crispy,1477,353,18.00,,,,32.00,16.00,,,1,,,
23,Twisty,1004,240,16.00,5.000,,10,7.00,18.00,,,500,160,,
24,Zuper Krunch Burger,2008,480,18.00,4.000,4.000,45,31.00,49.00,2.0,7.00,1380,,,
25,Spaghetti Deluxe,1013,242,3.34,1.530,,,10.49,42.50,,1.12,355,,,
26,Crispy Drumstick,711,170,12.00,,,,10.00,5.00,,,,,,
27,French Blackpepper Bento,1966,470,12.00,6.000,,10,26.00,64.00,,4.00,930,,,
28,Japanese Teriyaki Bento,1590,380,12.00,6.000,,25,14.00,53.00,,6.00,700,,,
29,Chocolate Molten Cake,858,205,9.00,2.000,,,2.00,28.00,,20.00,217,,,
30,Colonel Yakiniku,2761,660,20.00,,,,21.00,99.00,,,,,,
31,Krushers,1569,375,14.00,8.000,,,6.00,54.00,,42.00,3000,,,
32,Cheezy Wedges,1297,310,17.00,0.000,0.000,0,5.00,35.00,0.0,0.00,0,0,0.000,0.000
33,Mini Chizza,1439,344,19.00,4.500,,,28.00,15.00,1.0,1.50,400,,,
34,Double Down Zinger Fillet Burger,2218,530,26.00,3.000,,70,31.00,44.00,2.0,5.00,1330,560,11.000,11.000
35,Riser,1590,380,18.00,,,,22.00,31.00,,,1,,,
36,Chicken Popcorn,1469,351,22.00,4.000,0.200,40,18.00,21.00,1.0,0.00,,,,
37,Sambal Matah,586,140,12.00,5.000,,0,1.00,5.00,,3.00,600,,,
38,Sambal Korek,377,90,4.50,2.000,,0,1.00,13.00,,1.00,620,,,
